freq (Hz),output noise; A / sqrt(Hz) (A / sqrt(Hz))
39.8107E6,39.7824E-12
40.7380E6,39.6655E-12
41.6869E6,39.5467E-12
42.6580E6,39.4261E-12
43.6516E6,39.3035E-12
44.6684E6,39.1789E-12
45.7088E6,39.0524E-12
46.7735E6,38.9241E-12
47.8630E6,38.7937E-12
48.9779E6,38.6616E-12
50.1187E6,38.5275E-12
51.2861E6,38.3917E-12
52.4807E6,38.2540E-12
53.7032E6,38.1147E-12
54.9541E6,37.9738E-12
56.2341E6,37.8313E-12
57.5440E6,37.6873E-12
58.8844E6,37.5419E-12
60.2560E6,37.3952E-12
61.6595E6,37.2474E-12
63.0957E6,37.0984E-12
64.5654E6,36.9485E-12
66.0693E6,36.7978E-12
67.6083E6,36.6463E-12
69.1831E6,36.4943E-12
70.7946E6,36.3419E-12
72.4436E6,36.1891E-12
74.1310E6,36.0362E-12
75.8578E6,35.8832E-12
77.6247E6,35.7304E-12
79.4328E6,35.5779E-12
81.2831E6,35.4258E-12
83.1764E6,35.2743E-12
85.1138E6,35.1235E-12
87.0964E6,34.9735E-12
89.1251E6,34.8246E-12
91.2011E6,34.6768E-12
93.3254E6,34.5303E-12
95.4993E6,34.3852E-12
97.7237E6,34.2416E-12
100.000E6,34.0997E-12
102.329E6,33.9595E-12
104.713E6,33.8212E-12
107.152E6,33.6849E-12
109.648E6,33.5507E-12
112.202E6,33.4186E-12
114.815E6,33.2888E-12
117.490E6,33.1613E-12
120.226E6,33.0362E-12
123.027E6,32.9136E-12
125.893E6,32.7935E-12
128.825E6,32.6759E-12
131.826E6,32.5610E-12
134.896E6,32.4487E-12
138.038E6,32.3390E-12
141.254E6,32.2321E-12
144.544E6,32.1279E-12
147.911E6,32.0263E-12
151.356E6,31.9275E-12
154.882E6,31.8314E-12
158.489E6,31.7381E-12
162.181E6,31.6474E-12
165.959E6,31.5595E-12
169.824E6,31.4742E-12
173.780E6,31.3915E-12
177.828E6,31.3115E-12
181.970E6,31.2341E-12
186.209E6,31.1592E-12
190.546E6,31.0869E-12
194.984E6,31.0171E-12
199.526E6,30.9497E-12
204.174E6,30.8848E-12
208.930E6,30.8223E-12
213.796E6,30.7620E-12
218.776E6,30.7041E-12
223.872E6,30.6485E-12
229.087E6,30.5950E-12
234.423E6,30.5438E-12
239.883E6,30.4946E-12
245.471E6,30.4476E-12
251.189E6,30.4026E-12
257.040E6,30.3596E-12
263.027E6,30.3186E-12
269.153E6,30.2795E-12
275.423E6,30.2424E-12
281.838E6,30.2071E-12
288.403E6,30.1736E-12
295.121E6,30.1419E-12
301.995E6,30.1121E-12
309.030E6,30.0839E-12
316.228E6,30.0576E-12
323.594E6,30.0329E-12
331.131E6,30.0100E-12
338.844E6,29.9887E-12
346.737E6,29.9692E-12
354.813E6,29.9513E-12
363.078E6,29.9352E-12
371.535E6,29.9207E-12
380.189E6,29.9080E-12
389.045E6,29.8971E-12
398.107E6,29.8879E-12
407.380E6,29.8805E-12
416.869E6,29.8751E-12
426.580E6,29.8715E-12
436.516E6,29.8700E-12
446.684E6,29.8706E-12
457.088E6,29.8734E-12
467.735E6,29.8786E-12
478.630E6,29.8862E-12
489.779E6,29.8966E-12
501.187E6,29.9098E-12
512.861E6,29.9262E-12
524.807E6,29.9460E-12
537.032E6,29.9697E-12
549.541E6,29.9976E-12
562.341E6,30.0302E-12
575.440E6,30.0681E-12
588.844E6,30.1122E-12
602.560E6,30.1633E-12
616.595E6,30.2225E-12
630.957E6,30.2912E-12
645.654E6,30.3710E-12
660.693E6,30.4642E-12
676.083E6,30.5735E-12
691.831E6,30.7022E-12
707.946E6,30.8549E-12
724.436E6,31.0371E-12
741.310E6,31.2564E-12
758.578E6,31.5224E-12
776.247E6,31.8476E-12
794.328E6,32.2477E-12
812.831E6,32.7419E-12
831.764E6,33.3504E-12
851.138E6,34.0885E-12
870.964E6,34.9495E-12
891.251E6,35.8716E-12
912.011E6,36.6945E-12
933.254E6,37.1554E-12
954.993E6,37.0134E-12
977.237E6,36.2592E-12
1.00000E9,35.1467E-12
1.02329E9,33.9851E-12
1.04713E9,32.9650E-12
1.07152E9,32.1463E-12
1.09648E9,31.5179E-12
1.12202E9,31.0444E-12
1.14815E9,30.6895E-12
1.17490E9,30.4231E-12
1.20226E9,30.2220E-12
1.23027E9,30.0693E-12
1.25893E9,29.9527E-12
1.28825E9,29.8632E-12
1.31826E9,29.7941E-12
1.34896E9,29.7406E-12
1.38038E9,29.6990E-12
1.41254E9,29.6665E-12
1.44544E9,29.6409E-12
1.47911E9,29.6206E-12
1.51356E9,29.6042E-12
1.54882E9,29.5907E-12
1.58489E9,29.5791E-12
1.62181E9,29.5688E-12
1.65959E9,29.5592E-12
1.69824E9,29.5496E-12
